Message,Prediction
just got up. have to be out of the room very soon. û_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,Not Spam
so li hai... me bored now da lecturer repeating last weeks stuff waste time... ,Not Spam
yes but i don't care cause i know its there!,Not Spam
get ready for  &lt;#&gt;  inches of pleasure...,Not Spam
i have a sore throat. it's scratches when i talk,Not Spam
"send ur birthdate with month and year, i will tel u ur life partner's name. and the method of calculation. reply must.",Not Spam
ok. i only ask abt e movie. u wan ktv oso?,Not Spam
my drive can only be read. i need to write,Not Spam
where are you ? what are you doing ? are yuou working on getting the pc to your mom's ? did you find a spot that it would work ? i need you,Not Spam
"download as many ringtones as u like no restrictions, 1000s 2 choose. u can even send 2 yr buddys. txt sir to 80082 å£3 ",Not Spam
for me the love should start with attraction.i should feel that i need her every time around me.she should be the first thing which comes in my thoughts.i would start the day and end it with her.she should be there every time i dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.i would cry for her.will give all my happiness and take all her sorrows.i will be ready to fight with anyone for her.i will be in love when i will be doing the craziest things for her.love will be when i don't have to proove anyone that my girl is the most beautiful lady on the whole planet.i will always be singing praises for her.love will be when i start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.i would like to say a lot..will tell later..,Not Spam
"aight no rush, i'll ask jay",Not Spam
yes:)here tv is always available in work place..,Not Spam
sure but since my parents will be working on tuesday i don't really need a cover story,Not Spam
"i'm done. i'm sorry. i hope your next space gives you everything you want. remember all the furniture is yours. if i'm not around when you move it, just lock all the locks and leave the key with jenne.",Not Spam
correct. so how was work today,Not Spam
shall i bring us a bottle of wine to keep us amused? only joking! iû÷ll bring one anyway,Not Spam
where r e meeting tmr?,Not Spam
now? i'm going out 4 dinner soon..,Not Spam
do you work all this week ?,Not Spam
"ur balance is now å£600. next question: complete the landmark, big, a. bob, b. barry or c. ben ?. text a, b or c to 83738. good luck!",Not Spam
did u download the fring app?,Not Spam
yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,Not Spam
great! i hope you like your man well endowed. i am  &lt;#&gt;  inches...,Not Spam
"as in missionary hook up, doggy hook up, standing...|",Not Spam
"i promise to take good care of you, princess. i have to run now. please send pics when you get a chance. ttyl!",Not Spam
"we have sent jd for customer service cum accounts executive to ur mail id, for details contact us",Not Spam
"hi hope u get this txt~journey hasnt been gd,now about 50 mins late i think.",Not Spam
mm i had my food da from out,Not Spam
text pass to 69669 to collect your polyphonic ringtones. normal gprs charges apply only. enjoy your tones,Spam
same to u...,Not Spam
so u gonna get deus ex?,Not Spam
so there's a ring that comes with the guys costumes. it's there so they can gift their future yowifes. hint hint,Not Spam
"yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order",Not Spam
no plans yet. what are you doing ?,Not Spam
no problem. talk to you later,Not Spam
sindu got job in birla soft ..,Not Spam
"i dun thk i'll quit yet... hmmm, can go jazz ? yogasana oso can... we can go meet em after our lessons den... ",Not Spam
5 nights...we nt staying at port step liao...too ex,Not Spam
how long does applebees fucking take,Not Spam
i donno its in your genes or something,Not Spam
"urgent! you have won a 1 week free membership in our å£100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18",Spam
please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed å£1000 cash or å£5000 prize!,Spam
"yeah, probably here for a while",Not Spam
"he will, you guys close?",Not Spam
"(i should add that i don't really care and if you can't i can at least get this dude to fuck off but hey, your money if you want it)",Not Spam
probably gonna swing by in a wee bit,Not Spam
wow so healthy. old airport rd lor. cant thk of anything else. but i'll b bathing my dog later.,Not Spam
no management puzzeles.,Not Spam
urgent! we are trying to contact u. todays draw shows that you have won a å£800 prize guaranteed. call 09050003091 from land line. claim c52. valid12hrs only,Spam
no. 1 nokia tone 4 ur mob every week! just txt nok to 87021. 1st tone free ! so get txtin now and tell ur friends. 150p/tone. 16 reply hl 4info,Spam
yup but not studying surfing lor. i'm in e lazy mode today.,Not Spam
ya that one is slow as poo,Not Spam
those were my exact intentions,Not Spam
"whenevr ur sad, whenevr ur gray, remembr im here 2 listn 2 watevr u wanna say, jus walk wid me a little while,&amp; i promise i'll bring back ur smile.:-)",Not Spam
free for 1st week! no1 nokia tone 4 ur mobile every week just txt nokia to 8077 get txting and tell ur mates. www.getzed.co.uk pobox 36504 w45wq 16+ norm150p/tone,Spam
u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09065171142-stopsms-08718727870150ppm,Not Spam
"oh right, ok. i'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",Not Spam
"time n smile r the two crucial things in our life. sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",Not Spam
"they can try! they can get lost, in fact. tee hee",Not Spam
"freemsg hey u, i just got 1 of these video/pic fones, reply wild to this txt & ill send u my pics, hurry up im so bored at work xxx (18 150p/rcvd stop2stop)",Not Spam
fine i miss you very much.,Not Spam
i wnt to buy a bmw car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,Not Spam
", im .. on the snowboarding trip. i was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? cheers, ",Not Spam
ok . . now i am in bus. . if i come soon i will come otherwise tomorrow,Not Spam
i have lost 10 kilos as of today!,Not Spam
am i that much bad to avoid like this?,Not Spam
understand. his loss is my gain :) so do you work? school?,Not Spam
just sing hu. i think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. even things like choosing a phone plan require guidance. when in doubt ask especially girls.,Not Spam
i could ask carlos if we could get more if anybody else can chip in,Not Spam
how's it feel? mr. your not my real valentine just my yo valentine even tho u hardly play!!,Not Spam
iû÷m parked next to a mini!!!! when are you coming in today do you think?,Not Spam
"sorry my roommates took forever, it ok if i come by now?",Not Spam
"daddy, shu shu is looking 4 u... u wan me 2 tell him u're not in singapore or wat?",Not Spam
smith waste da.i wanna gayle.,Not Spam
on a tuesday night r u 4 real,Not Spam
we regret to inform u that the nhs has made a mistake.u were never actually born.please report 2 yor local hospital 2b terminated.we r sorry 4 the inconvenience,Not Spam
"4 tacos + 1 rajas burrito, right?",Not Spam
\alright babe,Not Spam
dear umma she called me now :-),Not Spam
well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that i'm a weed fiend/make them smoke too much/impede their doing other things so you see how i'm hesitant,Not Spam
after completed degree. there is no use in joining finance.,Not Spam
k i'll take care of it,Not Spam
interflora - åòit's not too late to order interflora flowers for christmas call 0800 505060 to place your order before midnight tomorrow.,Not Spam
s'fine. anytime. all the best with it.,Not Spam
will purchase d stuff today and mail to you. do you have a po box number?,Not Spam
his bday real is in april .,Not Spam
"nope, i'm still in the market",Not Spam
"ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",Not Spam
hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,Not Spam
 &lt;#&gt;  in mca. but not conform.,Not Spam
r u still working now?,Not Spam
lol no. i just need to cash in my nitros. hurry come on before i crash out!,Not Spam
except theres a chick with huge boobs.,Not Spam
i'm freezing and craving ice. fml,Not Spam
really good:)dhanush rocks once again:),Not Spam
i will be outside office take all from there,Not Spam
thanx 4 e brownie it's v nice...,Not Spam
"cool, i'll text you when i'm on the way",Not Spam
oh you got many responsibilities.,Not Spam
"hello from orange. for 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply yes. terms apply: www.orange.co.uk/ow",Spam
wow didn't think it was that common. i take it all back ur not a freak! unless u chop it off:-),Not Spam
its sunny in california. the weather's just cool,Not Spam
"i jus hope its true that  missin me cos i'm really missin him! you haven't done anything to feel guilty about, yet.",Not Spam
"it wont b until 2.15 as trying 2 sort house out, is that ok?",Not Spam
2marrow only. wed at  &lt;#&gt;  to 2 aha.,Not Spam
tell me whos this pls:-),Not Spam
cold. dont be sad dear,Not Spam
"thatû÷s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",Not Spam
"what's up bruv, hope you had a great break. do have a rewarding semester.",Not Spam
"fair enough, anything going on?",Not Spam
"today is sorry day.! if ever i was angry with you, if ever i misbehaved or hurt you? plz plz just slap urself bcoz, its ur fault, i'm basically good",Not Spam
i dont have i shall buy one dear,Not Spam
i am sorry it hurt you.,Not Spam
i love to wine and dine my lady!,Not Spam
"did he say how fantastic i am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think i would be the first person 2 die from n v q? ",Not Spam
oh god. i'm gonna google nearby cliffs now.,Not Spam
just glad to be talking to you.,Not Spam
not heard from u4 a while. call 4 rude chat private line 01223585334 to cum. wan 2c pics of me gettin shagged then text pix to 8552. 2end send stop 8552 sam xxx,Not Spam
so lets make it saturday or monday as per convenience.,Not Spam
"ya they are well and fine., bbd(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..",Not Spam
"ya ok, then had dinner?",Not Spam
great. so should i send you my account number.,Not Spam
"yeah go on then, bored and depressed sittin waitin for phone to ring... hope the wind drops though, scary",Not Spam
"last chance! claim ur å£150 worth of discount vouchers today! text shop to 85023 now! savamob, offers mobile! t cs savamob pobox84, m263uz. å£3.00 sub. 16",Spam
"i'm not coming over, do whatever you want",Not Spam
"free-message: jamster!get the crazy frog sound now! for poly text mad1, for real text mad2 to 88888. 6 crazy sounds for just 3 gbp/week! 16+only! t&c's apply",Not Spam
urgent! we are trying to contact u. todays draw shows that you have won a å£800 prize guaranteed. call 09050001295 from land line. claim a21. valid 12hrs only,Spam
"em, its olowoyey@ usc.edu have a great time in argentina. not sad about secretary, everything is a blessing",Not Spam
not much no fights. it was a good nite!!,Not Spam
&lt;#&gt; ish minutes was 5 minutes ago. wtf.,Not Spam
join the uk's horniest dogging service and u can have sex 2nite!. just sign up and follow the instructions. txt entry to 69888 now! nyt.ec2a.3lp.msg@150p,Spam
call 09090900040 & listen to extreme dirty live chat going on in the office right now total privacy no one knows your [sic] listening 60p min 24/7mp 0870753331018+,Not Spam
so do you have samus shoulders yet,Not Spam
havent.,Not Spam
alex knows a guy who sells mids but he's down in south tampa and i don't think i could set it up before like 8,Not Spam
if you hear a loud scream in about &lt;#&gt; minutes its cause my gyno will be shoving things up me that don't belong :/,Not Spam
thanx but my birthday is over already.,Not Spam
what type of stuff do you sing?,Not Spam
"wishing you and your family merry \x\"" mas and happy new year in advance..""",Not Spam
100 dating service cal;l 09064012103 box334sk38ch,Spam
oh ok..,Not Spam
"haha awesome, i might need to take you up on that, what you doin tonight?",Not Spam
i want snow. it's just freezing and windy.,Not Spam
"sorry, i'll call later in meeting.",Not Spam
still chance there. if you search hard you will get it..let have a try :),Not Spam
"beautiful truth against gravity.. read carefully: \our heart feels light when someone is in it.. but it feels very heavy when someone leaves it..\"" good night""",Not Spam
that day you asked about anand number. why:-),Not Spam
"sorry, got a late start, we're on the way",Not Spam
da is good good player.why he is unsold.,Not Spam
rofl betta invest in some  anti aging products,Not Spam
"the guy (kadeem) hasn't been selling since the break, i know one other guy but he's paranoid as fuck and doesn't like selling without me there and i can't be up there til late tonight",Not Spam
and by when you're done i mean now,Not Spam
what you doing?how are you?,Not Spam
bloomberg -message center +447797706009 why wait? apply for your future http://careers. bloomberg.com,Spam
did u got that persons story,Not Spam
"nah can't help you there, i've never had an iphone",Not Spam
"sorry, i'll call later",Not Spam
2/2 146tf150p,Not Spam
"a boy was late 2 home. his father: \power of frndship\""""",Not Spam
how are you. just checking up on you,Not Spam
i hope you that's the result of being consistently intelligent and kind. start asking him about practicum links and keep your ears open and all the best. ttyl,Not Spam
"\hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? katexxx\""""",Not Spam
hey you can pay. with salary de. only  &lt;#&gt; .,Not Spam
yeah do! donû÷t stand to close tho- youû÷ll catch something!,Not Spam
ok i msg u b4 i leave my house.,Not Spam
still i have not checked it da. . .,Not Spam
private! your 2003 account statement for 078,Spam
where are you call me.,Not Spam
lol your always so convincing.,Not Spam
"beautiful truth against gravity.. read carefully: \our heart feels light when someone is in it.. but it feels very heavy when someone leaves it..\"" good night""",Not Spam
ok give me 5 minutes i think i see her. btw you're my alibi. you were cutting my hair the whole time.,Not Spam
you said to me before i went back to bed that you can't sleep for anything.,Not Spam
why you keeping me away like this,Not Spam
lol no. u can trust me.,Not Spam
da my birthdate in certificate is in april but real date is today. but dont publish it. i shall give you a special treat if you keep the secret. any way thanks for the wishes,Not Spam
hey i am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,Not Spam
nice.nice.how is it working?,Not Spam
ok...,Not Spam
pandy joined 4w technologies today.he got job..,Not Spam
"awesome, that gonna be soon or later tonight?",Not Spam
this is wishing you a great day. moji told me about your offer and as always i was speechless. you offer so easily to go to great lengths on my behalf and its stunning. my exam is next friday. after that i will keep in touch more. sorry.,Not Spam
and maybe some pressies,Not Spam
nice.nice.how is it working?,Not Spam
its sarcasm.. .nt scarcasim,Not Spam
pls call me da. what happen.,Not Spam
missed call alert. these numbers called but left no message. 07008009200,Not Spam
am on a train back from northampton so i'm afraid not! i'm staying skyving off today ho ho! will be around wednesday though. do you fancy the comedy club this week by the way?,Not Spam
"haha better late than ever, any way i could swing by?",Not Spam
santa calling! would your little ones like a call from santa xmas eve? call 09077818151 to book you time. calls1.50ppm last 3mins 30s t&c www.santacalling.com,Not Spam
we walked from my moms. right on stagwood pass right on winterstone left on victors hill. address is &lt;#&gt;,Not Spam
pls help me tell ashley that i cant find her number oh,Not Spam
hui xin is in da lib.,Not Spam
no * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! loving u,Not Spam
wat u doing there?,Not Spam
"very strange.  and  are watching the 2nd one now but i'm in bed. sweet dreams, miss u ",Not Spam
right it wasnt you who phoned it was someone with a number like yours!,Not Spam
"wow ... i love you sooo much, you know ? i can barely stand it ! i wonder how your day goes and if you are well, my love ... i think of you and miss you",Not Spam
i want to lick your pussy now...,Not Spam
"sorry, i'll call later",Not Spam
i dont thnk its a wrong calling between us,Not Spam
joy's father is john. then john is the name of joy's father. mandan,Not Spam
omg joanna is freaking me out. she's looked thru all my friends to find photos of me. and then she's asking about stuff on my myspace which i haven't even logged on in like a year. :/,Not Spam
i plane to give on this month end.,Not Spam
hurry home. soup is done!,Not Spam
"thanks for your ringtone order, reference number x49. your mobile will be charged 4.50. should your tone not arrive please call customer services 09065989182. from: [colour=red]text[/colour]txtstar",Spam
maybe?! say hi to  and find out if  got his card. great escape or wetherspoons? ,Not Spam
ok lor.,Not Spam
i thought slide is enough.,Not Spam
ok but knackered. just came home and went to sleep! not good at this full time work lark.,Not Spam
come aftr  &lt;decimal&gt; ..now i m cleaning the house,Not Spam
goodmorning sleeping ga.,Not Spam
"the sign of maturity is not when we start saying big things.. but actually it is, when we start understanding small things... *have a nice evening* bslvyl",Not Spam
we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,Spam
u calling me right? call my hand phone...,Not Spam
take care and sleep well.you need to learn to change in life.you only need to get convinced on that.i will wait but no more conversations between us.get convinced by that time.your family is over for you in many senses.respect them but not overemphasise.or u have no role in my life.,Not Spam
"\life is nothing wen v get everything\"". but \""life is everything wen v miss something \"". real value of people wil be realized only in their absence.... gud mrng""",Not Spam
in xam hall boy asked girl tell me the starting term for dis answer i can den manage on my own after lot of hesitation n lookin around silently she said the! intha ponnungale ipaditan;),Not Spam
when're you guys getting back? g said you were thinking about not staying for mcr,Not Spam
mm that time you dont like fun,Not Spam
"good afternoon on this glorious anniversary day, my sweet j !! i hope this finds you happy and content, my prey. i think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... you cougar-pen",Not Spam
hi:)did you asked to waheeda fathima about leave?,Not Spam
"spoke with uncle john today. he strongly feels that you need to sacrifice to keep me here. he's going to call you. when he does, i beg you to just listen. dont make any promises or make it clear things are not easy. and i need you to please let us work things out. as long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",Not Spam
urgent this is our 2nd attempt to contact u. your å£900 prize from yesterday is still awaiting collection. to claim call now 09061702893. acl03530150pm,Spam
lol yeah at this point i guess not,Not Spam
"six chances to win cash! from 100 to 20,000 pounds txt> csh11 and send to 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info",Spam
bugis oso near wat... ,Not Spam
", ow u dey.i paid 60,400thousad.i told  u would call . ",Not Spam
k..k:)how about your training process?,Not Spam
apo all other are mokka players only,Not Spam
olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. hopefully they dont ignore that.,Not Spam
"welcome to select, an o2 service with added benefits. you can now call our specially trained advisors free from your mobile by dialling 402.",Spam
"\im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?\""""",Not Spam
"god asked, \what is forgiveness?\"" a little child gave lovely reply",Not Spam
yeah just open chat and click friend lists. then make the list. easy as pie,Not Spam
oh howda gud gud.. mathe en samachara chikku:-),Not Spam
we'll you pay over like  &lt;#&gt; yrs so its not too difficult,Not Spam
btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,Not Spam
there is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,Not Spam
goodnight da thangam i really miss u dear.,Not Spam
"piggy, r u awake? i bet u're still sleeping. i'm going 4 lunch now...",Not Spam
really... i tot ur paper ended long ago... but wat u copied jus now got use? u happy lar... i still haf 2 study :-(,Not Spam
"500 new mobiles from 2004, must go! txt: nokia to no: 89545 & collect yours today!from only å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 txtauction",Spam
"yeah probably, i still gotta check out with leo",Not Spam
i dled 3d its very imp,Not Spam
ha ha ha good joke. girls are situation seekers.,Not Spam
win urgent! your mobile number has been awarded with a å£2000 prize guaranteed call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,Spam
"i got arrested for possession at, i shit you not,  &lt;time&gt;  pm",Not Spam
im fine babes aint been up 2 much tho! saw scary movie yest its quite funny! want 2mrw afternoon? at town or mall or sumthin?xx,Not Spam
can you let me know details of fri when u find out cos i'm not in tom or fri. mentionned chinese. thanks,Not Spam
"arms fine, how's cardiff and uni? ",Not Spam
"for ur chance to win a å£250 cash every wk txt: action to 80608. t's&c's www.movietrivia.tv custcare 08712405022, 1x150p/wk",Spam
please call 08712402578 immediately as there is an urgent message waiting for you,Not Spam
"sorry, i'll call later  &lt;#&gt; mins",Not Spam
yeah i imagine he would be really gentle. unlike the other docs who treat their patients like turkeys.,Not Spam
"turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",Not Spam
wa... u so efficient... gee... thanx...,Not Spam
onum ela pa. normal than.,Not Spam
hard but true: how much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!ö´ó_??û¬ud evening...,Not Spam
i'm at home n ready...,Not Spam
i am back. good journey! let me know if you need any of the receipts. shall i tell you like the pendent?,Not Spam
no no. i will check all rooms befor activities,Not Spam
arun can u transfr me d amt,Not Spam
"men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. but the law allows only one wife....",Not Spam
bognor it is! should be splendid at this time of year.,Not Spam
even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,Not Spam
don know:)this week i'm going to tirunelvai da.,Not Spam
ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),Not Spam
where in abj are you serving. are you staying with dad or alone.,Not Spam
yes! how is a pretty lady like you single?,Not Spam
sorry sent blank msg again. yup but trying 2 do some serious studying now.,Not Spam
would you like to see my xxx pics they are so hot they were nearly banned in the uk!,Not Spam
private! your 2003 account statement for shows 800 un-redeemed s. i. m. points. call 08719899230 identifier code: 41685 expires 07/11/04,Spam
i'll be at mu in like  &lt;#&gt;  seconds,Not Spam
all boys made fun of me today. ok i have no problem. i just sent one message just for fun,Not Spam
you have won a guaranteed å£200 award or even å£1000 cashto claim ur award call free on 08000407165 (18+) 2 stop getstop on 88222 php. rg21 4jx,Spam
hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,Not Spam
don't fret. i'll buy the ovulation test strips and send them to you. you wont get them til like march. can you send me your postal address.u'll be alright.okay.,Not Spam
"hmmm ... and imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! are you sure your ready for that kind of life ?",Not Spam
ok lor wat time ì_ finish?,Not Spam
"night has ended for another day, morning has come in a special way. may you smile like the sunny rays and leaves your worries at the blue blue bay. gud mrng",Not Spam
"so check your errors and if you had difficulties, do correction.",Not Spam
yeah you should. i think you can use your gt atm now to register. not sure but if there's anyway i can help let me know. but when you do be sure you are ready.,Not Spam
y de asking like this.,Not Spam
we tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,Spam
ok but tell me half an hr b4 u come i need 2 prepare.,Not Spam
who are you seeing?,Not Spam
horrible u eat macs eat until u forgot abt me already rite... u take so long 2 reply. i thk it's more toot than b4 so b prepared. now wat shall i eat?,Not Spam
i dont know oh. hopefully this month.,Not Spam
"right on brah, see you later",Not Spam
todays vodafone numbers ending with 4882 are selected to a receive a å£350 award. if your number matches call 09064019014 to receive your å£350 award.,Spam
you have won a guaranteed å£1000 cash or a å£2000 prize. to claim yr prize call our customer service representative on 08714712394 between 10am-7pm,Spam
please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed å£1000 cash or å£5000 prize!,Spam
ho ho - big belly laugh! see ya tomo,Not Spam
thanks honey. have a great day.,Not Spam
we got a divorce. lol. she.s here,Not Spam
k:)all the best:)congrats...,Not Spam
"hey babe, sorry i didn't get sooner. gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a ptbo and he says it will cost  &lt;#&gt;  bucks. i don't know if it might be cheaper to find someone there ? we don't have any second hand machines at all right now, let me know what you want to do babe",Not Spam
"your free ringtone is waiting to be collected. simply text the password \mix\"" to 85069 to verify. get usher and britney. fml",Spam
dont show yourself. how far. put new pictures up on facebook.,Not Spam
our prashanthettan's mother passed away last night. pray for her and family.,Not Spam
"i wake up long ago already... dunno, what other thing?",Not Spam
i send the print  outs da.,Not Spam
everybody had fun this evening. miss you.,Not Spam
k.:)do it at evening da:)urgent:),Not Spam
it to 80488. your 500 free text messages are valid until 31 december 2005.,Spam
"do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",Not Spam
that seems unnecessarily affectionate,Not Spam
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. pete x,Not Spam
ha... then we must walk to everywhere... cannot take tram. my cousin said can walk to vic market from our hotel ,Not Spam
will you come online today night,Not Spam
i dunno lei... like dun haf...,Not Spam
valentines day special! win over å£1000 in our quiz and take your partner on the trip of a lifetime! send go to 83600 now. 150p/msg rcvd. custcare:08718720201.,Spam
crucify is c not s. you should have told me earlier.,Not Spam
we are pleased to inform that your application for airtel broadband is processed successfully. your installation will happen within 3 days.,Not Spam
"thank you so much. when we skyped wit kz and sura, we didnt get the pleasure of your company. hope you are good. we've given you ultimatum oh! we are countin down to aburo. enjoy! this is the message i sent days ago",Not Spam
have a great trip to india. and bring the light to everyone not just with the project but with everyone that is lucky to see you smile. bye. abiola,Not Spam
e admin building there? i might b slightly earlier... i'll call u when i'm reaching...,Not Spam
"tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?",Not Spam
s.i think he is waste for rr..,Not Spam
can you plz tell me the ans. bslvyl sent via fullonsms.com,Not Spam
no he didn't. spring is coming early yay!,Not Spam
haf u found him? i feel so stupid da v cam was working.,Not Spam
going on nothing great.bye,Not Spam
yes! the only place in town to meet exciting adult singles is now in the uk. txt chat to 86688 now! 150p/msg.,Not Spam
"you are guaranteed the latest nokia phone, a 40gb ipod mp3 player or a å£500 prize! txt word: collect to no: 83355! ibhltd ldnw15h 150p/mtmsgrcvd18",Spam
then we gotta do it after that,Not Spam
i'll be late...,Not Spam
do you want a new video handset? 750 anytime any network mins? half price line rental? camcorder? reply or call 08000930705 for delivery tomorrow,Spam
"win the newest åòharry potter and the order of the phoenix (book 5) reply harry, answer 5 questions - chance to be the first among readers!",Not Spam
pls confirm the time to collect the cheque.,Not Spam
"no, i *didn't* mean to post it. i wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it was what i was feeling at the time. i was angry. before i left, i hit send, then stop. it wasn't there. i checked on my phone when i got to my car. it wasn't there. you said you didn't sleep, you were bored. so why wouldn't that be the time to clean, fold laundry, etc.? at least make the bed?",Not Spam
you will be in the place of that man,Not Spam
"hi babe its chloe, how r u? i was smashed on saturday night, it was great! how was your weekend? u been missing me? sp visionsms.com text stop to stop 150p/text",Not Spam
i will see in half an hour,Not Spam
"lol, oh you got a friend for the dog ?",Not Spam
ill call you evening ill some ideas.,Not Spam
"thursday night? yeah, sure thing, we'll work it out then",Not Spam
7 at esplanade.. do ì_ mind giving me a lift cos i got no car today..,Not Spam
my house here e sky quite dark liao... if raining then got excuse not 2 run already rite... hee...,Not Spam
thankyou so much for the call. i appreciate your care.,Not Spam
purity of friendship between two is not about smiling after reading the forwarded message..its about smiling just by seeing the name. gud evng musthu,Not Spam
ok...,Not Spam
"carlos took a while (again), we leave in a minute",Not Spam
takin a shower now but yeah i'll leave when i'm done,Not Spam
"new theory: argument wins d situation, but loses the person. so dont argue with ur friends just.. . . . kick them &amp; say, i'm always correct.!",Not Spam
sex up ur mobile with a free sexy pic of jordan! just text babe to 88600. then every wk get a sexy celeb! pocketbabe.co.uk 4 more pics. 16 å£3/wk 087016248,Spam
"hello. no news on job, they are making me wait a fifth week! yeah im up for some woozles and weasels... in exeter still, but be home about 3. ",Not Spam
ok how you dear. did you call chechi,Not Spam
k still are you loving me.,Not Spam
 &lt;decimal&gt; m but its not a common car here so its better to buy from china or asia. or if i find it less expensive. i.ll holla,Not Spam
rightio. 11.48 it is then. well arent we all up bright and early this morning.,Not Spam
yes i have. so that's why u texted. pshew...missing you so much,Not Spam
"get the door, i'm here",Not Spam
kit strip - you have been billed 150p. netcollex ltd. po box 1013 ig11 oja,Spam
